postcode,Suburb,state
3219,BREAKWATER,VIC
3220,BAREENA,VIC
3221,ANAKIE,VIC
3222,CLIFTON SPRINGS,VIC
3223,BELLARINE,VIC
3224,LEOPOLD,VIC
3225,POINT LONSDALE,VIC
3226,OCEAN GROVE,VIC
3227,BARWON HEADS,VIC
3228,BELLBRAE,VIC
3230,ANGLESEA,VIC
3231,AIREYS INLET,VIC
3232,BIG HILL,VIC
3233,APOLLO BAY,VIC
3234,GREY RIVER,VIC
3235,BENWERRIN,VIC
3236,FORREST,VIC
3237,AIRE VALLEY,VIC
3238,GLENAIRE,VIC
3239,CARLISLE RIVER,VIC
3240,BUCKLEY,VIC
3241,BAMBRA,VIC
3242,BIRREGURRA,VIC
3243,BARWON DOWNS,VIC
3249,ALVIE,VIC
3250,COLAC,VIC
3251,BEEAC,VIC
3254,COROROOKE,VIC
3260,BOOKAAR,VIC
3264,TERANG,VIC
3265,BOORCAN,VIC
3266,BULLAHARRE,VIC
3267,SCOTTS CREEK,VIC
3268,AYRFORD,VIC
3269,PORT CAMPBELL,VIC
3270,PETERBOROUGH,VIC
3271,DARLINGTON,VIC
3272,MORTLAKE,VIC
3273,HEXHAM,VIC
3274,CARAMUT,VIC
3275,MAILER FLAT,VIC
3276,MINJAH,VIC
3277,ALLANSFORD,VIC
3278,PURNIM,VIC
3279,BALLANGEICH,VIC
3280,DENNINGTON,VIC
3281,BUSHFIELD,VIC
3282,ILLOWA,VIC
3283,CROSSLEY,VIC
3284,ORFORD,VIC
3285,CODRINGTON,VIC
3286,CONDAH SWAMP,VIC
3287,HAWKESDALE,VIC
3289,GAZETTE,VIC
3292,NELSON,VIC
3293,GLENTHOMPSON,VIC
3294,DUNKELD,VIC
3300,BYADUK NORTH,VIC
3301,BOCHARA,VIC
3302,BRANXHOLME,VIC
3303,BREAKAWAY CREEK,VIC
3304,BESSIEBELLE,VIC
3305,ALLESTREE,VIC
3309,DIGBY,VIC
3310,MERINO,VIC
3311,CASTERTON,VIC
3312,BAHGALLAH,VIC
3314,BULART,VIC
3315,BRIT BRIT,VIC
3317,HARROW,VIC
3318,CHARAM,VIC
3319,APSLEY,VIC
3321,HESSE,VIC
3322,CRESSY,VIC
3323,BERRYBANK,VIC
3324,LISMORE,VIC
3325,DERRINALLUM,VIC
3328,TEESDALE,VIC
3329,BARUNAH PARK,VIC
3330,ROKEWOOD,VIC
3331,BANNOCKBURN,VIC
3332,LETHBRIDGE,VIC
3333,BAMGANIE,VIC
3334,BUNGAL,VIC
3335,BONNIE BROOK,VIC
3336,AINTREE,VIC
3337,HARKNESS,VIC
3338,BROOKFIELD,VIC
3340,BACCHUS MARSH,VIC
3341,DALES CREEK,VIC
3342,BALLAN,VIC
3345,GORDON,VIC
3350,ALFREDTON,VIC
3351,BERRINGA,VIC
3352,ADDINGTON,VIC
3353,BALLARAT,VIC
3354,BAKERY HILL,VIC
3355,LAKE GARDENS,VIC
3356,BONSHAW,VIC
3357,BUNINYONG,VIC
3358,WINTER VALLEY,VIC
3360,HAPPY VALLEY,VIC
3361,BRADVALE,VIC
3363,CRESWICK,VIC
3364,ALLENDALE,VIC
3370,CLUNES,VIC
3371,AMHERST,VIC
3373,BEAUFORT,VIC
3374,GREAT WESTERN,VIC
3375,BALLYROGAN,VIC
3377,AMPHITHEATRE,VIC
3378,TATYOON,VIC
3379,BERRAMBOOL,VIC
3380,BELLELLEN,VIC
3381,BARKLY,VIC
3384,BARKLY,VIC
3385,DADSWELLS BRIDGE,VIC
3387,BOLANGUM,VIC
3388,BANYENA,VIC
3390,KEWELL,VIC
3391,BRIM,VIC
3392,BOOLITE,VIC
3393,AILSA,VIC
3395,BEULAH,VIC
3396,HOPETOUN,VIC
3399,JUNG,VIC
3400,BRIMPAEN,VIC
3401,BLACKHEATH,VIC
3402,HORSHAM,VIC
3407,BALMORAL,VIC
3409,ARAPILES,VIC
3412,GOROKE,VIC
3413,MINIMAY,VIC
3414,ANTWERP,VIC
3415,MIRAM,VIC
3418,BROUGHTON,VIC
3419,KANIVA,VIC
3420,LILLIMUR,VIC
3423,JEPARIT,VIC
3424,ALBACUTYA,VIC
3427,DIGGERS REST,VIC
3428,BULLA,VIC
3429,SUNBURY,VIC
3430,CLARKEFIELD,VIC
3431,RIDDELLS CREEK,VIC
3432,BOLINDA,VIC
3433,MONEGEETTA,VIC
3434,CHEROKEE,VIC
3435,BENLOCH,VIC
3437,BULLENGAROOK,VIC
3438,NEW GISBORNE,VIC
3440,MACEDON,VIC
3441,MOUNT MACEDON,VIC
3442,ASHBOURNE,VIC
3444,BARFOLD,VIC
3446,DRUMMOND NORTH,VIC
3447,TARADALE,VIC
3448,ELPHINSTONE,VIC
3450,CASTLEMAINE,VIC
3451,BARKERS CREEK,VIC
3453,HARCOURT,VIC
3458,BARRYS REEF,VIC
3460,BASALT,VIC
3461,BULLARTO,VIC
3462,GREEN GULLY,VIC
3463,BARINGHUP,VIC
3464,CARISBROOK,VIC
3465,ADELAIDE LEAD,VIC
3467,AVOCA,VIC
3468,AMPHITHEATRE,VIC
3469,ELMHURST,VIC
3472,BET BET,VIC
3475,ARCHDALE,VIC
3477,AVON PLAINS,VIC
3478,AVON PLAINS,VIC
3480,AREEGRA,VIC
3482,MASSEY,VIC
3483,BALLAPUR,VIC
3485,BANYAN,VIC
3487,LASCELLES,VIC
3488,SPEED,VIC
3489,TEMPY,VIC
3490,BIG DESERT,VIC
3491,PATCHEWOLLOCK,VIC
3494,CARWARP,VIC
3496,CARDROSS,VIC
3498,IRYMPLE,VIC
3500,MILDURA,VIC
3501,HATTAH,VIC
3502,MILDURA,VIC
3505,BIRDWOODTON,VIC
3506,COWANGIE,VIC
3507,WALPEUP,VIC
3509,LINGA,VIC
3512,CARINA,VIC
3515,MARONG,VIC
3516,BRIDGEWATER,VIC
3517,BEARS LAGOON,VIC
3518,BERRIMAL,VIC
3520,KINYPANIAL,VIC
3521,PYALONG,VIC
3522,EMU FLAT,VIC
3523,ARGYLE,VIC
3525,BARRAKEE,VIC
3527,BUNGULUKE,VIC
3529,KALPIENUNG,VIC
3530,CULGOA,VIC
3531,BERRIWILLOCK,VIC
3533,BIMBOURIE,VIC
3537,BARRAPORT,VIC
3540,CANNIE,VIC
3542,COKUM,VIC
3544,CHINANGIN,VIC
3546,BOLTON,VIC
3549,ANNUELLO,VIC
3550,BENDIGO,VIC
3551,ARNOLD,VIC
3552,BENDIGO,VIC
3554,BENDIGO DC,VIC
3555,BIG HILL,VIC
3556,CALIFORNIA GULLY,VIC
3557,BARNADOWN,VIC
3558,BURNEWANG,VIC
3559,AVONMORE,VIC
3561,BALLENDELLA,VIC
3562,TORRUMBARRY,VIC
3563,LOCKINGTON,VIC
3564,BAMAWM EXTENSION,VIC
3565,KOTTA,VIC
3566,GUNBOWER,VIC
3567,HORFIELD,VIC
3568,BURKES BRIDGE,VIC
3570,AUCHMORE,VIC
3571,DINGEE,VIC
3572,MILLOO,VIC
3573,CALIVIL,VIC
3575,BALD ROCK,VIC
3576,DURHAM OX,VIC
3579,APPIN,VIC
3580,KOONDROOK,VIC
3581,BEAUCHAMP,VIC
3583,TRESCO,VIC
3584,LAKE BOGA,VIC
3585,CASTLE DONNINGTON,VIC
3586,BULGA,VIC
3588,WOORINEN SOUTH,VIC
3589,WOORINEN,VIC
3590,BEVERFORD,VIC
3591,VINIFERA,VIC
3594,NYAH,VIC
3595,NYAH WEST,VIC
3596,MIRALIE,VIC
3597,KENLEY,VIC
3599,BOUNDARY BEND,VIC
3607,TABILK,VIC
3608,BAILIESTON,VIC
3610,DHURRINGILE,VIC
3612,MOORA,VIC
3614,TOOLAMBA,VIC
3616,COOMA,VIC
3617,BYRNESIDE,VIC
3618,MERRIGUM,VIC
3619,KYABRAM,VIC
3620,KYABRAM,VIC
3621,KOYUGA SOUTH,VIC
3622,CORNELIA CREEK,VIC
3623,CARAG CARAG,VIC
3624,GIRGARRE,VIC
3629,ARDMONA,VIC
3630,BENARCH,VIC
3631,ARCADIA,VIC
3632,SHEPPARTON,VIC
3633,CONGUPNA,VIC
3634,BUNBARTHA,VIC
3635,KAARIMBA,VIC
3636,DRUMANURE,VIC
3637,WAAIA,VIC
3638,KOTUPNA,VIC
3639,BARMAH,VIC
3640,KATUNGA,VIC
3641,BEARII,VIC
3643,COBRAM,VIC
3644,COBRAM,VIC
3646,DOOKIE,VIC
3647,DOOKIE COLLEGE,VIC
3649,KATAMATITE,VIC
3658,BROADFORD,VIC
3659,SUGARLOAF CREEK,VIC
3660,CAVEAT,VIC
3661,SEYMOUR,VIC
3662,PUCKAPUNYAL,VIC
3663,MANGALORE,VIC
3664,AVENEL,VIC
3665,LOCKSLEY,VIC
3666,BALMATTUM,VIC
3669,BOHO,VIC
3670,BADDAGINNIE,VIC
3671,BENALLA,VIC
3672,BENALLA,VIC
3673,BENALLA,VIC
3675,BOWEYA,VIC
3676,WANGARATTA,VIC
3677,APPIN PARK,VIC
3678,BOBINAWARRAH,VIC
3682,BORALMA,VIC
3683,CHILTERN,VIC
3685,BOORHAMAN NORTH,VIC
3687,CARLYLE,VIC
3688,BARNAWARTHA,VIC
3689,WODONGA,VIC
3690,WEST WODONGA,VIC
3691,ALLANS FLAT,VIC
3694,BANDIANA,VIC
3695,CHARLEROI,VIC
3697,TAWONGA,VIC
3698,TAWONGA SOUTH,VIC
3699,BOGONG,VIC
3700,BULLIOH,VIC
3701,DARTMOUTH,VIC
3704,KOETONG,VIC
3705,CUDGEWA,VIC
3707,BIGGARA,VIC
3708,TINTALDRA,VIC
3709,BURROWYE,VIC
3711,BUXTON,VIC
3712,RUBICON,VIC
3713,EILDON,VIC
3714,ACHERON,VIC
3715,ANCONA,VIC
3717,FLOWERDALE,VIC
3718,MOLESWORTH,VIC
3719,GOBUR,VIC
3720,BONNIE DOON,VIC
3722,BARWITE,VIC
3723,ARCHERTON,VIC
3724,MANSFIELD,VIC
3725,BOXWOOD,VIC
3726,BUNGEET,VIC
3727,ALMONDS,VIC
3728,BOOMAHNOOMOONAH,VIC
3730,BATHUMI,VIC
3732,MOYHU,VIC
3733,WHITFIELD,VIC
3735,BOWMANS FOREST,VIC
3736,MYRTLEFORD,VIC
3737,ABBEYARD,VIC
3738,OVENS,VIC
3739,EUROBIN,VIC
3740,BUCKLAND,VIC
3741,BRIGHT,VIC
3744,WANDILIGONG,VIC
3746,ELDORADO,VIC
3747,BAARMUTHA,VIC
3749,BRUARONG,VIC
3750,WOLLERT,VIC
3751,WOODSTOCK,VIC
3752,MORANG SOUTH,VIC
3753,BEVERIDGE,VIC
3754,DOREEN,VIC
3755,YAN YEAN,VIC
3756,CHINTIN,VIC
3757,BRUCES CREEK,VIC
3758,HEATHCOTE JUNCTION,VIC
3759,PANTON HILL,VIC
3760,SMITHS GULLY,VIC
3761,ST ANDREWS,VIC
3762,BYLANDS,VIC
3763,KINGLAKE,VIC
3764,FORBES,VIC
3765,MONTROSE,VIC
3766,KALORAMA,VIC
3767,MOUNT DANDENONG,VIC
3770,COLDSTREAM,VIC
3775,CHRISTMAS HILLS,VIC
3777,BADGER CREEK,VIC
3778,FERNSHAW,VIC
3779,CAMBARVILLE,VIC
3781,COCKATOO,VIC
3782,AVONSLEIGH,VIC
3783,GEMBROOK,VIC
3785,TREMONT,VIC
3786,FERNY CREEK,VIC
3787,SASSAFRAS,VIC
3788,OLINDA,VIC
3789,SHERBROOKE,VIC
3791,KALLISTA,VIC
3792,THE PATCH,VIC
3793,MONBULK,VIC
3795,SILVAN,VIC
3796,MOUNT EVELYN,VIC
3797,GILDEROY,VIC
3799,BIG PATS CREEK,VIC
3800,MONASH UNIVERSITY,VIC
3802,ENDEAVOUR HILLS,VIC
3803,HALLAM,VIC
3804,NARRE WARREN EAST,VIC
3805,FOUNTAIN GATE,VIC
3806,BERWICK,VIC
3807,BEACONSFIELD,VIC
3808,BEACONSFIELD UPPER,VIC
3809,OFFICER,VIC
3810,PAKENHAM,VIC
3812,MARYKNOLL,VIC
3813,TYNONG,VIC
3814,CORA LYNN,VIC
3815,BUNYIP,VIC
3816,LABERTOUCHE,VIC
3818,ATHLONE,VIC
3820,BONA VISTA,VIC
3821,BRANDY CREEK,VIC
3822,CLOVERLEA,VIC
3823,ALLAMBEE,VIC
3824,CHILDERS,VIC
3825,ABERFELDY,VIC
3831,NEERIM,VIC
3832,NAYOOK,VIC
3833,ADA,VIC
3835,THORPDALE,VIC
3840,DRIFFIELD,VIC
3841,GIPPSLAND MC,VIC
3842,CHURCHILL,VIC
3844,BLACKWARRY,VIC
3847,HIAMDALE,VIC
3850,GIFFARD,VIC
3851,AIRLY,VIC
3852,EAST SALE,VIC
3853,SALE,VIC
3854,GLENGARRY,VIC
3856,TOONGABBIE,VIC
3857,COWWARR,VIC
3858,ARBUCKLE,VIC
3859,MAFFRA WEST UPPER,VIC
3860,BOISDALE,VIC
3862,BUDGEE BUDGEE,VIC
3864,FERNBANK,VIC
3865,LINDENOW,VIC
3869,JUMBUK,VIC
3870,BOOLARRA,VIC
3871,ALLAMBEE RESERVE,VIC
3873,GORMANDALE,VIC
3874,CARRAJUNG SOUTH,VIC
3875,BAIRNSDALE,VIC
3878,EAGLE POINT,VIC
3880,BOOLE POOLE,VIC
3882,NICHOLSON,VIC
3885,BRUMBY,VIC
3886,NEWMERELLA,VIC
3887,LAKE TYERS,VIC
3888,BENDOC,VIC
3889,BELL BIRD CREEK,VIC
3890,BULDAH,VIC
3891,GENOA,VIC
3892,MALLACOOTA,VIC
3893,DOUBLE BRIDGES,VIC
3895,DOCTORS FLAT,VIC
3896,BINDI,VIC
3898,ANGLERS REST,VIC
3900,BENAMBRA,VIC
3902,BUMBERRAH,VIC
3903,SWAN REACH,VIC
3904,METUNG,VIC
3909,KALIMNA,VIC
3910,LANGWARRIN,VIC
3911,BAXTER,VIC
3912,PEARCEDALE,VIC
3913,TYABB,VIC
3915,HASTINGS,VIC
3916,MERRICKS,VIC
3918,BITTERN,VIC
3919,CRIB POINT,VIC
3920,FLINDERS NAVAL DEPOT,VIC
3921,ELIZABETH ISLAND,VIC
3922,COWES,VIC
3923,RHYLL,VIC
3925,CAPE WOOLAMAI,VIC
3926,BALNARRING,VIC
3927,SOMERS,VIC
3928,MAIN RIDGE,VIC
3929,FLINDERS,VIC
3930,KUNYUNG,VIC
3931,MORNINGTON,VIC
3933,MOOROODUC,VIC
3934,MOUNT MARTHA,VIC
3936,ARTHURS SEAT,VIC
3937,RED HILL,VIC
3938,MCCRAE,VIC
3939,BONEO,VIC
3940,CAPEL SOUND,VIC
3941,RYE,VIC
3942,BLAIRGOWRIE,VIC
3943,SORRENTO,VIC
3944,PORTSEA,VIC
3945,BELLVIEW,VIC
3946,BENA,VIC
3950,KARDELLA SOUTH,VIC
3951,ARAWATA,VIC
3953,BERRYS CREEK,VIC
3954,KOONWARRA,VIC
3956,DUMBALK,VIC
3957,GRASSY SPUR,VIC
3958,BUFFALO,VIC
3959,FISH CREEK,VIC
3960,BENNISON,VIC
3962,AGNES,VIC
3964,PORT FRANKLIN,VIC
3965,PORT WELSHPOOL,VIC
3966,BINGINWARRI,VIC
3967,HEDLEY,VIC
3971,ALBERTON,VIC
3975,LYNBROOK,VIC
3976,HAMPTON PARK,VIC
3977,BOTANIC RIDGE,VIC
3978,CARDINIA,VIC
3979,ALMURTA,VIC
3980,BLIND BIGHT,VIC
3981,BAYLES,VIC
3984,ADAMS ESTATE,VIC
3987,NYORA,VIC
3988,MOUNTAIN VIEW,VIC
3989,ST HELIER,VIC
3990,GLEN FORBES,VIC
3991,BASS,VIC
3992,BLACKWOOD FOREST,VIC
3995,ANDERSON,VIC
3996,INVERLOCH,VIC
8001,MELBOURNE,VIC
8002,EAST MELBOURNE,VIC
8003,COLLINS STREET EAST,VIC
8004,ST KILDA ROAD,VIC
8005,WORLD TRADE CENTRE,VIC
8006,ABECKETT STREET,VIC
8007,COLLINS STREET WEST,VIC
8008,ST KILDA ROAD CENTRAL,VIC
8009,FLINDERS LANE,VIC
8010,LAW COURTS,VIC
8011,LITTLE LONSDALE STREET,VIC
8012,DOCKLANDS,VIC
8045,MELBOURNE,VIC
8051,MELBOURNE,VIC
8066,MELBOURNE,VIC
8069,MELBOURNE,VIC
8070,MELBOURNE,VIC
8071,MELBOURNE,VIC
8102,MELBOURNE,VIC
8107,MELBOURNE,VIC
8111,MELBOURNE,VIC
8120,MELBOURNE,VIC
8205,MELBOURNE,VIC
8785,DANDENONG,VIC
